id,ip,nom,os,services,port_principaux,zone,criticite,donnees,role,employes_acces,conformite
H01,10.0.0.10,pay-api,Ubuntu 20.04 LTS,Node.js 14 / HTTPS / Kubernetes,443;80;8443;10250,Internet,Critique,Sensible,API paiement mobile — 15 000 transactions/jour,12,PCI-DSS requis
H02,10.0.0.15,db-prod,Debian 11,PostgreSQL 12 / SSL,5432,Interne,Critique,Sensible,Base de données transactions + KYC — 1.2M utilisateurs,4,PCI-DSS requis
H03,10.0.0.20,web-front,Ubuntu 18.04,Nginx 1.14 / HTTPS,80;443;22,Internet,Élevée,Interne,Portail web clients — authentification et tableau de bord,8,RGPD applicable
H04,10.0.0.25,auth-srv,Ubuntu 20.04 LTS,Keycloak 12 / Confluence 7.13,8080;8443,DMZ,Critique,Sensible,Serveur SSO — gestion des identités et accès de tous les employés,280,ISO 27001 cible
H05,10.0.0.30,admin-panel,CentOS 7,Apache 2.4 / MySQL 5.7 / OpenSSH 6.7,80;3306;22,Interne,Élevée,Interne,Backoffice opérateurs PayShield — gestion des comptes marchands,45,Audit interne annuel
H06,10.0.0.35,mail-srv,Debian 10,Postfix 3.4 / Dovecot,25;587;993,DMZ,Moyenne,Public,Serveur mail transactionnel — confirmations de paiement et alertes,3,Aucune
H07,10.0.0.40,fw-01,FreeBSD 12,pfSense 2.5 / OpenSSH 8.1,443;80;22,Internet,Critique,Interne,Firewall périmétrique principal — tout le trafic entrant/sortant passe ici,2,ISO 27001 cible
H08,10.0.0.45,monitoring,Ubuntu 20.04,Grafana 8.0 / Prometheus,3000;9090,Interne,Moyenne,Interne,Supervision et alertes — logs et métriques de tous les systèmes,6,Aucune
H09,10.0.0.50,backup,Ubuntu 20.04,Bacula 9.4 / OpenSSH 7.9,9101;9102;22,Interne,Élevée,Sensible,Serveur de sauvegardes chiffrées — snapshots quotidiens de db-prod,2,PCI-DSS requis
H10,10.0.0.55,dev-env,Ubuntu 22.04,Apache 2.4 / MySQL 8.0 / OpenSSH 8.2,80;3306;22,Interne,Faible,Public,Environnement de développement — clone anonymisé de production,15,Aucune
